primary_assignee,G06N10,G06N20,G06N3,G06N5,G06N7,G06N99
ADOBE INC,0.0,138.0,645.0,63.0,44.0,0.0
AMAZON TECH INC,50.0,393.0,535.0,152.0,64.0,2.0
BANK OF AMERICA,41.0,417.0,204.0,130.0,18.0,0.0
CAPITAL ONE SERVICES LLC,0.0,499.0,512.0,174.0,36.0,0.0
GOOGLE LLC,211.0,433.0,1238.0,127.0,52.0,1.0
IBM,487.0,1419.0,2061.0,1032.0,309.0,2.0
INTEL CORP,81.0,178.0,858.0,60.0,27.0,1.0
MICROSOFT TECHNOLOGY LICENSING LLC,124.0,642.0,883.0,250.0,97.0,1.0
NVIDIA CORP,0.0,47.0,550.0,18.0,10.0,0.0
SAMSUNG ELECTRONICS CO LTD,9.0,329.0,1764.0,63.0,36.0,5.0
