country,patent_count
US,50940
KR,5176
CN,5145
JP,4634
DE,2180
Unknown,1699
CA,1329
GB,1293
IL,1062
TW,871
IE,762
IN,662
FR,575
CH,568
NL,544
SE,460
KY,380
SG,334
FI,292
AU,236
SA,180
IT,118
DK,115
HK,109
RU,89
BE,89
CY,60
AT,51
AE,48
ES,47
NZ,44
LT,43
MT,37
LU,36
NO,31
BB,30
PT,29
TR,27
VG,26
CZ,22
CL,19
PL,19
BR,17
QA,15
VN,13
EE,12
GR,12
BM,7
TH,7
ZA,7
MY,6
IR,6
IS,6
IM,6
HU,5
RO,2
EG,2
AG,2
BG,2
CO,2
HR,2
LI,2
TN,2
MX,2
MA,2
NG,1
SC,1
AR,1
SK,1
PH,1
PA,1
JE,1
LB,1
AI,1
MU,1
UY,1
LV,1
GI,1
JO,1
BZ,1
AM,1
