publication_number,grant_year,high_impact,dataset_split
US-10881345-B2,2021,0,Train
US-10881348-B2,2021,0,Train
US-10881463-B2,2021,0,Train
US-10881964-B1,2021,1,Train
US-10882488-B2,2021,0,Train
US-10882522-B2,2021,1,Train
US-10883106-B2,2021,0,Train
US-10883475-B2,2021,0,Train
US-10883842-B2,2021,0,Train
US-10883844-B2,2021,1,Train
US-10883847-B2,2021,0,Train
US-10884033-B2,2021,0,Train
US-10884315-B2,2021,0,Train
US-10884383-B2,2021,0,Train
US-10884409-B2,2021,1,Train
US-10884411-B1,2021,1,Train
US-10884433-B2,2021,0,Train
US-10884471-B2,2021,0,Train
US-10884484-B2,2021,0,Train
US-10884485-B2,2021,0,Train
US-10884502-B2,2021,0,Train
US-10884503-B2,2021,1,Train
US-10884598-B2,2021,1,Train
US-10884705-B1,2021,0,Train
US-10884707-B1,2021,0,Train
US-10884708-B2,2021,0,Train
US-10884710-B1,2021,0,Train
US-10884713-B2,2021,0,Train
US-10884714-B2,2021,0,Train
US-10884718-B2,2021,0,Train
US-10884755-B1,2021,0,Train
US-10884760-B2,2021,0,Train
US-10884768-B2,2021,0,Train
US-10884769-B2,2021,1,Train
US-10884771-B2,2021,0,Train
US-10884795-B2,2021,1,Train
US-10884804-B2,2021,0,Train
US-10884805-B2,2021,0,Train
US-10884839-B2,2021,0,Train
US-10884842-B1,2021,1,Train
US-10884843-B2,2021,0,Train
US-10884844-B2,2021,0,Train
US-10884893-B2,2021,0,Train
US-10884894-B2,2021,1,Train
US-10884898-B2,2021,0,Train
US-10884903-B1,2021,1,Train
US-10884938-B2,2021,0,Train
US-10884957-B2,2021,0,Train
US-10884979-B2,2021,1,Train
US-10884999-B2,2021,0,Train
US-10885011-B2,2021,0,Train
US-10885019-B2,2021,0,Train
US-10885025-B2,2021,0,Train
US-10885026-B2,2021,0,Train
US-10885039-B2,2021,1,Train
US-10885044-B2,2021,0,Train
US-10885045-B2,2021,0,Train
US-10885065-B2,2021,1,Train
US-10885069-B2,2021,0,Train
US-10885082-B2,2021,0,Train
US-10885083-B2,2021,1,Train
US-10885087-B2,2021,0,Train
US-10885092-B2,2021,1,Train
US-10885097-B2,2021,0,Train
US-10885099-B1,2021,1,Train
US-10885111-B2,2021,0,Train
US-10885119-B2,2021,1,Train
US-10885122-B2,2021,0,Train
US-10885127-B2,2021,0,Train
US-10885132-B2,2021,0,Train
US-10885140-B2,2021,0,Train
US-10885147-B2,2021,0,Train
US-10885149-B2,2021,0,Train
US-10885160-B1,2021,0,Train
US-10885167-B1,2021,1,Train
US-10885221-B2,2021,0,Train
US-10885231-B2,2021,0,Train
US-10885241-B2,2021,0,Train
US-10885259-B2,2021,0,Train
US-10885270-B2,2021,0,Train
US-10885273-B2,2021,0,Train
US-10885276-B2,2021,1,Train
US-10885277-B2,2021,1,Train
US-10885278-B2,2021,0,Train
US-10885279-B2,2021,0,Train
US-10885313-B2,2021,0,Train
US-10885315-B2,2021,0,Train
US-10885317-B2,2021,0,Train
US-10885324-B2,2021,0,Train
US-10885326-B2,2021,0,Train
US-10885331-B2,2021,0,Train
US-10885332-B2,2021,0,Train
US-10885336-B1,2021,1,Train
US-10885341-B2,2021,0,Train
US-10885343-B1,2021,0,Train
US-10885345-B2,2021,0,Train
US-10885360-B1,2021,0,Train
US-10885361-B2,2021,0,Train
