Feature,Importance,Std
assignee_country,0.06738371666987263,0.007376647889362361
backward_citation_count,0.03653650627902506,0.005993867273842498
filing_to_grant_days,0.01813951251683108,0.002598536296376864
cpc_count,0.011319854725985368,0.0032931323943180026
claims_word_count,0.009741442481199625,0.0039838651237711015
claims_text_length,0.004379860405045255,0.0024491882725511662
inventor_count,0.0026844320482170892,0.001721458714183873
abstract_word_count,0.0015226979198153857,0.000993574844772436
cpc_group,0.0013684931255897093,0.0017239813307374327
title_word_count,-6.501149551627617e-05,0.000867527095653546
assignee_count,-0.0004184184734320695,0.000506497564141859
