publication_number,primary_assignee,assignee_country,cpc_group,forward_citations_24m,high_impact,predicted_impact_probability,predicted_high_impact
US-11922728-B1,AMAZON TECH INC,US,G06N3,1,0,0.7848526715870411,1
US-11927925-B2,Johnson Controls Tyco IP Holdings LLP,US,G06N3,3,1,0.7832943999916298,1
US-11948563-B1,META PLATFORMS INC,US,G06N3,17,1,0.7802801354851533,1
US-11896432-B2,VEKTOR MEDICAL INC,US,G06N3,3,1,0.7792594402330089,1
US-11907832-B2,LIGHTELLIGENCE INC,US,G06N3,3,1,0.7773528932757574,1
US-11954063-B2,INTEL CORP,US,G06N3,2,1,0.7765979229437788,1
US-11857273-B2,GLOBUS MEDICAL INC,US,G06N3,4,1,0.776194474988601,1
US-11886318-B1,VIGNET INC,US,G06N3,3,1,0.7672077910050009,1
US-11915214-B1,PNC FINANCIAL SERVICES GROUP,US,G06N20,1,0,0.7635908782308549,1
US-11875896-B2,EMED LABS LLC,US,G06N3,1,0,0.7613931602241608,1
US-11907919-B1,PNC FINANCIAL SERVICES GROUP,US,G06N20,1,0,0.7589013301474442,1
US-11928655-B1,PNC FINANCIAL SERVICES GROUP,US,G06N20,2,1,0.7575942771370713,1
US-11861892-B2,SKYDIO INC,US,G06N3,2,1,0.7572146360157656,1
US-11897471-B2,NVIDIA CORP,US,G06N3,4,1,0.7572091061494421,1
US-11935019-B1,PNC FINANCIAL SERVICES GROUP,US,G06N20,0,0,0.7568226690084147,1
US-11887359-B2,META PLATFORMS INC,US,G06N3,4,1,0.7538910948166704,1
US-11924648-B1,DIGITAL GLOBAL SYSTEMS INC,US,G06N3,109,1,0.7533628572750954,1
US-11948300-B2,SPECTRAL MD INC,US,G06N3,2,1,0.7521273917256263,1
US-11894137-B2,EMED LABS LLC,US,G06N3,1,0,0.7508765423798706,1
US-11875320-B1,PNC FINANCIAL SERVICES GROUP,US,G06N20,1,0,0.7505801383087863,1
